,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
22,0.4160055637359619,0.0007232189178466797,0.40325670498084293,0.41234711155806536,0.1,"(25, 25)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 5}",22,0.42857142857142855,0.4616306954436451,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.4444444444444444,0.45639187574671447,0.38164251207729466,0.3811230585424134,0.43884408891823523,0.0001249266579895318,0.027532357659054877,0.03813718949300356
23,1.1351004123687745,0.0009697914123535156,0.46551724137931033,0.487079583644912,0.1,"(25, 25)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 10}",13,0.43333333333333335,0.4940047961630695,0.48095238095238096,0.4892086330935252,0.4666666666666667,0.49280575539568344,0.48792270531400966,0.4778972520908005,0.45893719806763283,0.48148148148148145,0.14684607858450505,0.00025268170169827895,0.019096069023688687,0.0063393126362005
24,1.4803118228912353,0.0008023738861083985,0.4846743295019157,0.512462288233929,0.1,"(25, 25)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 15}",7,0.4666666666666667,0.5203836930455635,0.45714285714285713,0.5239808153477218,0.47619047619047616,0.5071942446043165,0.4927536231884058,0.5005973715651135,0.5314009661835749,0.5101553166069295,0.8675262791268669,8.25956563685348e-05,0.026038954673250462,0.008593902145011698
25,3.5247421741485594,0.000706338882446289,0.46934865900383144,0.5365960994645145,0.1,"(25, 25)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",11,0.5142857142857142,0.5743405275779376,0.44285714285714284,0.5959232613908872,0.38095238095238093,0.381294964028777,0.4927536231884058,0.5675029868578255,0.5169082125603864,0.5639187574671446,1.670748463759614,2.70604982250042e-05,0.051732135958852364,0.07844049973342622
26,1.7201241493225097,0.0007334232330322265,0.4099616858237548,0.4987321970380685,0.1,"(25, 25)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",20,0.38095238095238093,0.381294964028777,0.48095238095238096,0.6738609112709832,0.4238095238095238,0.6762589928057554,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,1.9530737898930728,2.1646201235618364e-05,0.03923775582104215,0.14397301995629247
27,1.886064338684082,0.0009796142578125,0.4492337164750958,0.5028089356471812,0.1,"(25, 25)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",17,0.5761904761904761,0.658273381294964,0.5238095238095238,0.7122302158273381,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,1.9469925951240488,0.0005353846921404449,0.08432280155308453,0.14993799860266235
28,0.07336640357971191,0.0016386032104492188,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 2}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.016330303948539713,0.0007367113477560782,0.00033759931841486414,8.42161451151526e-05
29,0.09476704597473144,0.0014709949493408204,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 5}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.027560251859182455,0.000161683056229459,0.00033759931841486414,8.42161451151526e-05
30,0.1429001808166504,0.0016336441040039062,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 10}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.04467328647820816,0.0002934901913652535,0.00033759931841486414,8.42161451151526e-05
31,0.1777433395385742,0.0019034385681152345,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 15}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.028404130320614934,0.001204569061594089,0.00033759931841486414,8.42161451151526e-05
32,0.24730420112609863,0.0014543533325195312,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 20}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.05725761958498269,0.00010887603108594489,0.00033759931841486414,8.42161451151526e-05
33,0.2444833755493164,0.001445436477661133,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 25}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.09044650619296336,9.288361909723803e-05,0.00033759931841486414,8.42161451151526e-05
34,0.3082540512084961,0.001346588134765625,0.38122605363984674,0.38122620183423156,0.1,"(100, 25, 100)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 30}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.0488552439875038,3.769879518443423e-05,0.00033759931841486414,8.42161451151526e-05
